#           state               0.20            0.25            0.30            0.35            0.40            0.45            0.50            0.55            0.60            0.65            0.70            0.75            0.80            0.85            0.90            0.95            1.00
              1  	    -0.00011725	    -0.00955923	    -0.10923618	    -0.60495766	    -2.17159088	    -5.60453251	   -11.58131510	   -20.72134078	   -33.67106103	   -51.04796970	   -73.77098026	  -102.71946595	  -138.31905425	  -181.03024362	  -231.85233574	  -291.71617789	  -362.50062101
              2  	    -0.00027631	    -0.01486158	    -0.14459717	    -0.72436964	    -2.36922464	    -5.81276246	   -11.76304970	   -20.84974890	   -33.73401024	   -51.15659788	   -73.82910438	  -102.60424275	  -138.06900828	  -180.78616202	  -231.56239603	  -291.85466044	  -363.31356654
              3  	    -0.00035538	    -0.01408205	    -0.14226749	    -0.72281127	    -2.36555934	    -5.79141319	   -11.71786316	   -20.79407740	   -33.69544938	   -51.15258641	   -73.82306120	  -102.49058462	  -137.87022818	  -180.44003858	  -231.23157806	  -291.52339845	  -363.24591525
              4  	    -0.00035721	    -0.01472769	    -0.15711326	    -0.77367771	    -2.44564283	    -5.88238307	   -11.77764228	   -20.83275156	   -33.64156223	   -51.01634421	   -73.61391698	  -102.11555919	  -137.36174485	  -179.95260615	  -230.88845904	  -291.44673078	  -363.53277605
              5  	    -0.00050550	    -0.01517949	    -0.16761171	    -0.81765382	    -2.53550748	    -5.99474378	   -11.90585656	   -20.97563634	   -33.81170543	   -51.21925460	   -73.84429910	  -102.35223347	  -137.53337004	  -180.17535765	  -231.21425578	  -292.07292462	  -364.38093046
              6  	    -0.00012090	    -0.01577149	    -0.17430111	    -0.84026781	    -2.59952178	    -6.11848201	   -12.07760343	   -21.15917952	   -34.02210965	   -51.45313579	   -74.06658856	  -102.57809324	  -137.69458297	  -180.23334620	  -231.17308389	  -292.01095457	  -364.45074933
              7  	    -0.00004467	    -0.01641591	    -0.16864406	    -0.79444643	    -2.48152586	    -5.94448874	   -11.90049604	   -20.99970926	   -33.94985868	   -51.46614425	   -74.23993963	  -102.82126975	  -138.01443956	  -180.49262772	  -231.45630197	  -292.27510269	  -364.72771428
              8  	    -0.00019593	    -0.01867631	    -0.17660459	    -0.79931468	    -2.45578724	    -5.86019495	   -11.75329557	   -20.80547058	   -33.70910401	   -51.20809213	   -73.96547828	  -102.48471413	  -137.58876886	  -180.12223180	  -231.00274517	  -291.69512657	  -364.23612487
              9  	    -0.00026410	    -0.01817459	    -0.17692902	    -0.80509796	    -2.45119580	    -5.85529114	   -11.78725529	   -20.89420774	   -33.82184184	   -51.29266420	   -73.91488375	  -102.37544076	  -137.41648009	  -179.83055553	  -230.60204375	  -291.29936228	  -363.82848057
             10  	    -0.00026892	    -0.02242725	    -0.19261624	    -0.83407390	    -2.47059058	    -5.82969160	   -11.67230779	   -20.69495465	   -33.57816136	   -51.05317220	   -73.65590767	  -102.15852198	  -137.18007433	  -179.63831908	  -230.46986041	  -291.28290220	  -363.96361965
             11  	    -0.00050172	    -0.02388478	    -0.19034422	    -0.82589616	    -2.47403607	    -5.85066123	   -11.68356894	   -20.70610527	   -33.62212682	   -51.09882484	   -73.79013921	  -102.29223437	  -137.42109430	  -179.85224955	  -230.84793910	  -291.73399923	  -364.42442397
             12  	    -0.00042843	    -0.01906740	    -0.17544602	    -0.79474672	    -2.41524830	    -5.76216746	   -11.56560115	   -20.57681616	   -33.46682779	   -50.94149757	   -73.56300461	  -101.99495232	  -137.07130657	  -179.50221840	  -230.41763602	  -291.27478417	  -364.04211509
             13  	    -0.00029340	    -0.02275273	    -0.20550866	    -0.86342947	    -2.52804544	    -5.89921506	   -11.71624147	   -20.74478400	   -33.66886027	   -51.19663363	   -73.89766166	  -102.33877284	  -137.36309720	  -179.82083277	  -230.83502549	  -291.81871700	  -364.76653050
             14  	    -0.00085007	    -0.02986976	    -0.21218408	    -0.84436504	    -2.44829437	    -5.75304796	   -11.55371167	   -20.58382689	   -33.49741340	   -51.02553280	   -73.61684896	  -102.01875842	  -137.02355147	  -179.41397975	  -230.44146824	  -291.59301886	  -364.70311116
             15  	    -0.00089703	    -0.03040549	    -0.22075820	    -0.87831382	    -2.52239929	    -5.88012226	   -11.70156721	   -20.74604331	   -33.69078169	   -51.15812430	   -73.74025758	  -102.18097569	  -137.18445101	  -179.71477520	  -230.86208924	  -292.16216126	  -365.43323343
             16  	    -0.00082001	    -0.03017098	    -0.22386831	    -0.89796060	    -2.57195107	    -5.94672613	   -11.78187297	   -20.82589128	   -33.71505863	   -51.13232905	   -73.79941288	  -102.27268451	  -137.29551510	  -179.86655157	  -231.10365317	  -292.59043426	  -365.94869021
             17  	    -0.00091696	    -0.02712696	    -0.21782229	    -0.89724195	    -2.57967328	    -5.93497069	   -11.76877946	   -20.84624613	   -33.76232840	   -51.24850551	   -73.93801832	  -102.34842199	  -137.29665056	  -179.95808677	  -231.12138891	  -292.52994505	  -365.89409856
             18  	    -0.00061216	    -0.02398872	    -0.19818404	    -0.84448851	    -2.50950644	    -5.88836386	   -11.73746238	   -20.77839546	   -33.69541547	   -51.14399797	   -73.77880415	  -102.14513452	  -137.09921033	  -179.54190283	  -230.59664649	  -291.95769099	  -365.21232457
             19  	    -0.00058478	    -0.02588312	    -0.21484079	    -0.88157600	    -2.54054849	    -5.89065368	   -11.70745926	   -20.72135090	   -33.62488955	   -51.01771784	   -73.63045663	  -102.02823941	  -136.94969536	  -179.46011615	  -230.66683800	  -292.06394715	  -365.36246869
